Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q9D8Y0,EF-hand domain-containing protein D2 OS=Mus musculus (Mouse) OX=10090 GN=Efhd2 PE=1 SV=1,26.8,8,7,5,1,3,1,3,7,5,1,4,1,3,-1.37,1.10E-01,8,6,3,5,3,5,1.30E+07,7.08E+06,1.63E+06,2.73E+06,1.41E+06,3.96E+06,,,
High,O88643,Serine/threonine-protein kinase PAK 1 OS=Mus musculus (Mouse) OX=10090 GN=Pak1 PE=1 SV=1,60.7,5,3,5,,2,,,3,5,,2,,,-1.94,1.10E-01,3,2,1,3,1,1,2.01E+06,1.62E+06,1.87E+05,1.65E+06,2.32E+05,4.24E+05,,,
High,P62821,Ras-related protein Rab-1A OS=Mus musculus (Mouse) OX=10090 GN=Rab1A PE=1 SV=3,22.7,4,7,9,6,9,6,6,10,12,7,12,7,9,0.8,1.10E-01,4,4,4,4,4,3,4.46E+07,1.73E+07,6.62E+06,3.02E+07,3.50E+07,1.52E+07,,,
High,Q6DFW4,Nucleolar protein 58 OS=Mus musculus (Mouse) OX=10090 GN=Nop58 PE=1 SV=1,60.3,12,7,8,2,8,,6,9,9,2,9,,6,-1.34,1.11E-01,7,8,5,7,3,5,1.29E+07,1.08E+07,2.33E+06,9.31E+06,3.74E+06,4.28E+06,,,
High,Q9D964,"Glycine amidinotransferase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Gatm PE=1 SV=1",48.3,17,12,17,6,14,4,7,20,27,10,20,7,10,-1.19,1.12E-01,16,20,12,19,8,12,7.81E+07,9.93E+07,3.23E+07,5.16E+07,2.46E+07,3.43E+07,,,
High,P46471,26S proteasome regulatory subunit 7 OS=Mus musculus (Mouse) OX=10090 GN=Psmc2 PE=1 SV=5,48.6,14,8,9,2,12,4,5,8,11,2,14,4,5,1.01,1.14E-01,9,8,5,10,6,6,2.72E+07,5.86E+06,3.66E+06,1.45E+07,1.18E+07,6.63E+06,,,
High,Q9CQI3,Glia maturation factor beta OS=Mus musculus (Mouse) OX=10090 GN=Gmfb PE=1 SV=3,16.7,5,3,3,1,3,2,2,3,3,1,3,2,3,0.88,1.14E-01,3,4,4,4,3,4,8.42E+06,1.72E+07,8.32E+06,1.55E+07,7.54E+06,2.95E+07,,,
High,Q9DBL7,Bifunctional coenzyme A synthase OS=Mus musculus (Mouse) OX=10090 GN=Coasy PE=1 SV=2,62,5,1,4,,2,,,1,4,,2,,,-1.58,1.14E-01,3,4,1,3,2,2,7.36E+06,3.65E+06,1.93E+05,1.49E+06,1.22E+06,7.41E+05,,,
High,Q6ZWV7,60S ribosomal protein L35 OS=Mus musculus (Mouse) OX=10090 GN=Rpl35 PE=1 SV=1,14.5,2,2,2,1,2,1,1,4,2,1,2,1,1,-1.18,1.15E-01,2,2,2,2,1,1,4.46E+07,2.02E+07,1.31E+07,2.38E+07,8.92E+06,8.12E+06,,,
High,Q8BH24,Transmembrane 9 superfamily member 4 OS=Mus musculus (Mouse) OX=10090 GN=Tm9sf4 PE=1 SV=1,74.6,5,1,1,,4,,1,1,1,,4,,1,1.21,1.15E-01,2,,,3,2,3,1.58E+06,,,6.79E+06,1.11E+06,3.64E+06,,,
High,Q62393,Tumor protein D52 OS=Mus musculus (Mouse) OX=10090 GN=Tpd52 PE=1 SV=2,24.3,8,5,6,5,7,4,4,5,8,5,9,5,5,0.76,1.16E-01,6,6,4,7,5,5,2.28E+07,1.28E+07,6.97E+06,2.77E+07,2.17E+07,2.02E+07,,,
High,Q9CZC8,Secernin-1 OS=Mus musculus (Mouse) OX=10090 GN=Scrn1 PE=1 SV=1,46.3,9,5,7,3,6,5,5,5,9,3,8,6,7,0.99,1.16E-01,4,6,6,7,5,6,4.97E+06,8.46E+06,6.51E+06,1.88E+07,1.29E+07,1.03E+07,,,
High,Q99LD8,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Mus musculus (Mouse) OX=10090 GN=Ddah2 PE=1 SV=1",29.6,2,1,,1,3,2,2,1,,1,3,2,2,1.77,1.17E-01,,2,1,2,2,2,,4.97E+05,1.74E+05,7.26E+05,1.53E+06,1.01E+06,,,
High,A2ASS6,Titin OS=Mus musculus (Mouse) OX=10090 GN=Ttn PE=1 SV=1,3904.1,11,,,,1,10,2,,,,1,10,2,1.16,1.17E-01,1,1,2,2,7,6,2.72E+06,1.74E+06,2.65E+06,1.92E+06,1.75E+07,5.94E+06,,,
High,O35639,Annexin A3 OS=Mus musculus (Mouse) OX=10090 GN=Anxa3 PE=1 SV=4,36.4,6,3,6,1,3,1,4,3,6,1,3,1,4,-1.54,1.17E-01,3,5,2,2,2,3,3.93E+06,1.49E+07,6.90E+05,8.92E+05,1.35E+06,2.73E+06,,,
High,P12815,Programmed cell death protein 6 OS=Mus musculus (Mouse) OX=10090 GN=Pdcd6 PE=1 SV=2,21.9,7,5,5,1,7,,3,7,5,1,8,,3,-1.19,1.18E-01,7,8,5,8,4,6,2.62E+07,1.56E+07,3.69E+06,2.13E+07,4.63E+06,6.85E+06,,,
High,P00405,Cytochrome c oxidase subunit 2 OS=Mus musculus (Mouse) OX=10090 GN=Mtco2 PE=1 SV=1,26,6,5,5,5,5,3,4,7,9,6,9,3,9,0.78,1.18E-01,5,9,7,9,6,8,3.64E+07,9.77E+07,3.60E+07,9.56E+07,4.90E+07,6.25E+07,,,
High,E9Q7L0,Transket_pyr domain-containing protein OS=Mus musculus (Mouse) OX=10090 GN=Ogdhl PE=1 SV=1,116.5,8,3,14,4,10,3,5,3,15,4,10,3,5,-1.56,1.19E-01,2,6,1,3,2,3,3.70E+06,3.92E+06,3.63E+05,1.73E+06,4.23E+05,1.26E+06,,,
High,P61922,"4-aminobutyrate aminotransferase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Abat PE=1 SV=1",56.4,21,13,18,11,17,5,12,15,24,11,22,5,14,0.77,1.20E-01,11,20,16,20,6,14,3.40E+07,1.03E+08,3.30E+07,8.64E+07,5.50E+07,5.81E+07,,,
High,O35226,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus (Mouse) OX=10090 GN=Psmd4 PE=1 SV=1,40.7,6,4,5,2,5,4,3,4,7,2,6,5,3,1,1.21E-01,2,6,4,6,4,6,5.65E+06,1.00E+07,3.08E+06,1.39E+07,1.13E+07,7.46E+06,,,
High,Q7TNG5,Echinoderm microtubule-associated protein-like 2 OS=Mus musculus (Mouse) OX=10090 GN=Eml2 PE=1 SV=1,70.7,6,4,4,,4,1,,4,4,,5,1,,-1.51,1.22E-01,5,5,1,5,3,4,4.12E+06,4.23E+06,2.14E+05,4.15E+06,1.43E+06,1.45E+06,,,
High,P63028,Translationally-controlled tumor protein OS=Mus musculus (Mouse) OX=10090 GN=Tpt1 PE=1 SV=1,19.5,6,3,5,3,6,3,3,8,6,3,7,3,3,0.77,1.22E-01,3,5,5,5,2,5,1.62E+07,1.97E+07,6.88E+06,2.76E+07,1.55E+06,3.09E+07,,,
High,Q9CWL8,Beta-catenin-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Ctnnbl1 PE=1 SV=1,64.9,7,3,4,,5,,1,3,4,,5,,1,-1.83,1.22E-01,3,5,2,4,2,2,1.56E+06,1.92E+06,2.96E+05,2.29E+06,3.21E+05,4.38E+05,,,
High,A0A2R8VHP3,IF rod domain-containing protein OS=Mus musculus (Mouse) OX=10090 GN=Gm5478 PE=1 SV=1,57.9,3,9,9,7,9,8,6,38,34,29,37,30,31,0.77,1.22E-01,3,3,3,3,2,3,5.08E+08,4.04E+08,9.48E+08,8.65E+08,7.27E+08,1.11E+09,,,
High,Q9D0M3,"Cytochrome c1, heme protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Cyc1 PE=1 SV=1",35.3,5,3,5,2,5,1,3,4,9,3,6,1,4,0.78,1.23E-01,4,7,7,6,3,4,1.17E+07,1.51E+07,5.10E+06,2.01E+07,2.92E+07,4.31E+06,,,
High,Q9QZD9,Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus (Mouse) OX=10090 GN=Eif3i PE=1 SV=1,36.4,12,10,6,2,8,3,3,10,7,2,9,4,3,-1.24,1.23E-01,7,8,7,9,4,4,1.93E+07,1.21E+07,5.31E+06,1.60E+07,5.13E+06,3.66E+06,,,
High,P19783,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Cox4i1 PE=1 SV=2",19.5,6,4,5,4,5,2,3,5,6,5,8,2,5,0.76,1.25E-01,6,7,6,7,7,7,3.41E+07,7.74E+07,3.32E+07,8.19E+07,4.38E+07,5.78E+07,,,
High,Q8CH18,Cell division cycle and apoptosis regulator protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Ccar1 PE=1 SV=1,132,9,6,7,,3,,1,6,7,,3,,1,-1.56,1.26E-01,5,6,4,5,2,4,3.75E+06,3.41E+06,1.24E+06,2.53E+06,6.62E+05,1.16E+06,,,
High,Q8K409,DNA polymerase beta OS=Mus musculus (Mouse) OX=10090 GN=Polb PE=1 SV=3,38.3,2,1,2,1,2,,,1,2,1,2,,,-1.87,1.26E-01,1,2,2,2,1,1,1.62E+06,1.38E+06,1.21E+06,1.01E+06,3.75E+05,3.28E+05,,,
High,Q9DCS9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Mus musculus (Mouse) OX=10090 GN=Ndufb10 PE=1 SV=3,21,8,3,7,2,8,2,4,3,9,3,11,2,5,0.93,1.26E-01,3,6,5,6,4,5,6.31E+06,1.45E+07,6.42E+06,1.63E+07,9.43E+06,1.22E+07,,,
High,Q9ER00,Syntaxin-12 OS=Mus musculus (Mouse) OX=10090 GN=Stx12 PE=1 SV=1,31.2,8,1,5,1,7,2,3,1,6,2,8,2,3,1.13,1.27E-01,4,5,4,6,3,4,2.47E+06,5.40E+06,2.10E+06,8.61E+06,4.56E+06,5.39E+06,,,
High,G3X972,"Sec24-related gene family, member C (S. cerevisiae) OS=Mus musculus (Mouse) OX=10090 GN=Sec24c PE=1 SV=1",118.5,8,4,2,,5,,,4,2,,5,,,-1.85,1.27E-01,3,4,1,3,1,,2.32E+06,1.61E+06,1.46E+05,1.72E+06,1.15E+05,,,,
High,Q62376,U1 small nuclear ribonucleoprotein 70 kDa OS=Mus musculus (Mouse) OX=10090 GN=Snrnp70 PE=1 SV=2,52,9,6,7,1,8,1,2,8,9,1,10,1,2,-1.23,1.28E-01,6,7,6,7,4,6,1.87E+07,1.22E+07,3.82E+06,1.64E+07,4.34E+06,5.21E+06,,,
High,P26040,Ezrin OS=Mus musculus (Mouse) OX=10090 GN=Ezr PE=1 SV=3,69.4,8,17,5,2,7,4,4,31,6,2,9,4,4,1.28,1.29E-01,7,2,1,3,4,3,2.89E+07,1.09E+06,4.81E+05,2.65E+06,3.24E+06,1.63E+06,,,
High,Q9ERS2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Mus musculus (Mouse) OX=10090 GN=Ndufa13 PE=1 SV=3,16.8,4,4,4,3,4,3,4,5,6,3,8,3,4,0.75,1.29E-01,5,6,5,6,3,5,1.26E+07,2.44E+07,1.55E+07,3.41E+07,1.50E+07,2.61E+07,,,
High,Q99K85,Phosphoserine aminotransferase OS=Mus musculus (Mouse) OX=10090 GN=Psat1 PE=1 SV=1,40.4,19,16,15,13,19,11,15,21,22,14,27,13,18,0.75,1.29E-01,18,21,20,21,17,20,1.04E+08,1.76E+08,1.39E+08,3.53E+08,2.34E+08,2.09E+08,,,
High,Q7TQD2,Tubulin polymerization-promoting protein OS=Mus musculus (Mouse) OX=10090 GN=Tppp PE=1 SV=1,23.6,17,14,9,9,12,5,8,32,16,10,18,8,10,-1.14,1.29E-01,15,14,12,14,7,9,5.78E+08,6.98E+08,4.00E+08,2.62E+08,1.59E+08,2.71E+08,,,
High,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus (Mouse) OX=10090 GN=Atp1a1 PE=1 SV=1,112.9,18,20,25,13,27,11,13,28,39,18,42,16,16,-1.14,1.29E-01,11,16,9,16,7,10,3.96E+07,3.76E+07,9.30E+06,4.50E+07,1.55E+07,1.70E+07,,,
High,Q9QUI0,Transforming protein RhoA OS=Mus musculus (Mouse) OX=10090 GN=Rhoa PE=1 SV=1,21.8,3,5,8,4,9,4,5,7,11,4,13,6,6,-1.29,1.30E-01,4,5,3,3,1,3,9.00E+06,1.80E+07,2.05E+06,5.62E+06,3.67E+06,3.16E+06,,,
High,Q8BXN9,Transmembrane protein 87A OS=Mus musculus (Mouse) OX=10090 GN=Tmem87a PE=1 SV=1,63.3,4,1,4,,4,1,1,1,4,,4,1,1,1.12,1.31E-01,1,4,3,4,,3,8.86E+05,2.89E+06,1.80E+06,6.11E+06,,2.51E+06,,,
High,Q02819,Nucleobindin-1 OS=Mus musculus (Mouse) OX=10090 GN=Nucb1 PE=1 SV=2,53.4,14,9,11,4,13,5,9,9,14,4,16,5,11,0.74,1.32E-01,9,13,9,14,7,10,1.36E+07,2.81E+07,9.85E+06,4.57E+07,2.27E+07,2.11E+07,,,
High,Q9Z0Y1,Dynactin subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Dctn3 PE=1 SV=2,21,4,2,2,1,2,1,1,2,3,1,2,1,1,-1.39,1.32E-01,3,3,3,3,2,2,7.34E+06,6.07E+06,2.37E+06,6.16E+06,1.80E+06,2.31E+06,,,
High,Q8BFR5,"Elongation factor Tu, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Tufm PE=1 SV=1",49.5,19,14,14,6,16,4,6,17,19,6,22,4,7,-1.13,1.34E-01,17,17,11,17,8,9,7.49E+07,4.30E+07,1.61E+07,4.45E+07,1.33E+07,1.96E+07,,,
High,Q9CY27,Very-long-chain enoyl-CoA reductase OS=Mus musculus (Mouse) OX=10090 GN=Tecr PE=1 SV=1,36.1,9,5,8,3,6,1,3,9,10,4,10,1,3,-1.13,1.34E-01,7,9,8,8,3,8,3.14E+07,3.76E+07,1.24E+07,2.73E+07,5.16E+06,1.44E+07,,,
High,Q9WV80,Sorting nexin-1 OS=Mus musculus (Mouse) OX=10090 GN=Snx1 PE=1 SV=1,58.9,12,6,11,5,13,6,10,6,12,5,15,6,11,0.74,1.35E-01,10,12,8,13,9,11,1.27E+07,1.92E+07,1.04E+07,3.18E+07,2.12E+07,1.82E+07,,,
High,P54728,UV excision repair protein RAD23 homolog B OS=Mus musculus (Mouse) OX=10090 GN=Rad23b PE=1 SV=2,43.5,8,4,7,3,9,2,3,4,7,3,9,2,4,0.73,1.37E-01,4,6,6,6,4,5,8.82E+07,8.59E+07,1.91E+08,1.34E+08,1.53E+08,1.46E+08,,,
High,Q3THK7,GMP synthase [glutamine-hydrolyzing] OS=Mus musculus (Mouse) OX=10090 GN=Gmps PE=1 SV=2,76.7,11,8,3,,5,,,10,4,,5,,,1.47,1.38E-01,8,2,1,4,3,1,2.22E+07,5.34E+05,6.82E+05,3.10E+06,1.89E+06,8.20E+05,,,
High,Q78ZA7,Nucleosome assembly protein 1-like 4 OS=Mus musculus (Mouse) OX=10090 GN=Nap1l4 PE=1 SV=1,42.7,8,3,8,3,7,5,3,4,8,3,10,5,3,-1.19,1.38E-01,5,9,6,7,4,3,1.33E+07,1.36E+07,5.39E+06,1.18E+07,5.85E+06,3.06E+06,,,
High,P35550,rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus (Mouse) OX=10090 GN=Fbl PE=1 SV=2,34.3,10,9,8,2,9,2,2,12,10,2,11,2,3,-1.12,1.38E-01,10,9,7,9,3,4,5.01E+07,2.12E+07,1.07E+07,2.43E+07,7.48E+06,9.76E+06,,,
High,Q8BH61,Coagulation factor XIII A chain OS=Mus musculus (Mouse) OX=10090 GN=F13a1 PE=1 SV=3,83.2,11,5,10,4,2,2,6,5,12,4,2,2,6,0.73,1.39E-01,6,11,9,6,8,11,7.18E+06,2.89E+07,4.05E+07,9.54E+06,5.11E+07,4.79E+07,,,
High,Q99KV1,DnaJ homolog subfamily B member 11 OS=Mus musculus (Mouse) OX=10090 GN=Dnajb11 PE=1 SV=1,40.5,7,5,3,2,5,1,2,7,5,3,6,1,3,-1.31,1.39E-01,3,3,2,4,2,2,7.88E+06,7.64E+06,3.09E+06,1.05E+07,3.09E+06,2.43E+06,,,
High,Q9CQH7,Transcription factor BTF3 homolog 4 OS=Mus musculus (Mouse) OX=10090 GN=Btf3l4 PE=1 SV=1,17.3,4,1,4,1,2,2,1,2,5,1,3,2,2,1.07,1.40E-01,1,3,2,4,1,2,2.10E+06,2.82E+06,1.81E+06,6.57E+06,1.18E+06,4.42E+06,,,
High,P17742,Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus (Mouse) OX=10090 GN=Ppia PE=1 SV=2,18,11,11,10,9,11,7,9,68,21,15,27,16,20,0.72,1.40E-01,14,13,13,15,10,13,1.60E+09,5.46E+08,4.86E+08,9.38E+08,9.02E+08,6.95E+08,,,
High,Q61207,Prosaposin OS=Mus musculus (Mouse) OX=10090 GN=Psap PE=1 SV=2,61.4,14,9,13,7,11,5,12,9,18,8,12,7,15,0.72,1.40E-01,9,12,9,11,8,10,7.80E+07,2.45E+08,1.05E+08,1.73E+08,1.16E+08,1.85E+08,,,
High,Q60771,Claudin-11 OS=Mus musculus (Mouse) OX=10090 GN=Cldn11 PE=1 SV=1,22.1,3,2,3,3,1,,,3,5,4,1,,,-1.25,1.40E-01,3,5,5,4,1,5,1.04E+07,2.01E+07,1.01E+07,8.67E+06,9.71E+05,4.36E+06,,,
High,P09411,Phosphoglycerate kinase 1 OS=Mus musculus (Mouse) OX=10090 GN=Pgk1 PE=1 SV=4,44.5,20,21,20,15,23,10,16,42,29,20,34,18,27,0.72,1.40E-01,19,22,22,23,16,19,4.51E+08,2.03E+08,1.40E+08,3.35E+08,3.66E+08,2.71E+08,,,
High,P23475,X-ray repair cross-complementing protein 6 OS=Mus musculus (Mouse) OX=10090 GN=Xrcc6 PE=1 SV=5,69.4,4,3,1,,3,2,1,5,1,,3,2,1,-1.47,1.40E-01,2,2,,2,2,1,1.78E+07,8.92E+05,,1.44E+06,2.76E+06,4.53E+05,,,
High,Q7TMF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus (Mouse) OX=10090 GN=Ndufa12 PE=1 SV=2,17.1,5,2,3,3,5,1,2,3,5,3,6,1,3,-1.24,1.41E-01,2,4,3,4,1,4,9.97E+06,9.26E+06,3.55E+06,1.09E+07,3.82E+06,3.91E+06,,,
High,O35215,D-dopachrome decarboxylase OS=Mus musculus (Mouse) OX=10090 GN=Ddt PE=1 SV=3,13.1,4,2,2,,3,,2,2,2,,4,,2,1.09,1.43E-01,3,4,2,4,3,4,3.27E+06,5.68E+06,1.35E+06,6.98E+06,1.12E+07,5.38E+06,,,
High,Q9DBG3,AP-2 complex subunit beta OS=Mus musculus (Mouse) OX=10090 GN=Ap2b1 PE=1 SV=1,104.5,13,16,22,4,21,4,6,18,24,4,25,4,7,-1.19,1.43E-01,6,8,4,6,4,3,2.05E+07,1.24E+07,2.70E+06,1.17E+07,4.61E+06,5.44E+06,,,
High,Q9DAK9,14 kDa phosphohistidine phosphatase OS=Mus musculus (Mouse) OX=10090 GN=Phpt1 PE=1 SV=1,14,5,2,4,1,4,,2,2,5,1,4,,2,-1.45,1.44E-01,3,4,4,5,3,4,4.49E+06,3.87E+06,3.80E+06,5.19E+06,1.20E+06,1.42E+06,,,
High,O88851,Putative hydrolase RBBP9 OS=Mus musculus (Mouse) OX=10090 GN=Rbbp9 PE=1 SV=2,20.9,5,1,3,,3,,1,2,3,,4,,1,-1.49,1.45E-01,2,2,1,2,1,2,5.74E+06,3.11E+06,1.15E+06,3.17E+06,3.37E+05,1.10E+06,,,
High,Q62048,Astrocytic phosphoprotein PEA-15 OS=Mus musculus (Mouse) OX=10090 GN=Pea15 PE=1 SV=1,15,7,6,6,3,7,2,5,9,11,4,12,3,9,0.71,1.46E-01,5,8,7,8,6,7,4.37E+07,8.38E+07,3.15E+07,1.62E+08,4.56E+07,7.15E+07,,,
High,P70195,Proteasome subunit beta type-7 OS=Mus musculus (Mouse) OX=10090 GN=Psmb7 PE=1 SV=1,29.9,5,4,3,1,3,1,2,4,3,1,3,1,2,1.07,1.46E-01,4,3,2,4,2,3,2.39E+07,3.41E+06,1.29E+06,7.97E+06,2.05E+06,7.18E+06,,,
High,Q9D6N5,Dr1-associated corepressor OS=Mus musculus (Mouse) OX=10090 GN=Drap1 PE=1 SV=3,22.3,3,3,2,,2,,,3,2,,2,,,-1.62,1.48E-01,2,2,1,3,2,,2.08E+06,1.94E+06,3.19E+05,1.78E+06,2.26E+05,,,,
High,Q9D023,Mitochondrial pyruvate carrier 2 OS=Mus musculus (Mouse) OX=10090 GN=Mpc2 PE=1 SV=1,14.3,7,3,6,1,6,3,4,3,7,1,7,3,4,0.89,1.48E-01,3,6,3,5,4,4,6.66E+06,1.82E+07,5.48E+06,1.46E+07,1.23E+07,9.53E+06,,,
High,Q91VJ5,Polyglutamine-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Pqbp1 PE=1 SV=1,30.6,5,2,3,2,2,,1,2,3,2,3,,1,-1.53,1.49E-01,3,3,1,2,1,2,3.85E+06,2.97E+06,1.22E+06,1.03E+06,4.10E+05,1.06E+06,,,
High,Q80TB8,Synaptic vesicle membrane protein VAT-1 homolog-like OS=Mus musculus (Mouse) OX=10090 GN=Vat1l PE=1 SV=2,45.8,4,,2,1,2,,,,2,1,2,,,0.87,1.51E-01,2,2,1,3,1,1,6.97E+06,1.12E+07,6.45E+06,1.27E+07,2.81E+06,1.38E+07,,,
High,Q91ZA3,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Pcca PE=1 SV=2",79.9,12,1,8,,9,,,1,8,,9,,,-1.44,1.51E-01,6,7,3,8,2,3,3.83E+06,7.30E+06,8.31E+05,7.39E+06,1.41E+06,1.39E+06,,,
High,Q61937,Nucleophosmin OS=Mus musculus (Mouse) OX=10090 GN=Npm1 PE=1 SV=1,32.5,10,8,9,5,7,5,4,31,16,9,18,15,7,0.7,1.53E-01,11,9,10,10,8,10,6.40E+08,7.06E+07,4.09E+07,1.14E+08,2.18E+08,7.50E+07,,,
High,P26883,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus (Mouse) OX=10090 GN=Fkbp1a PE=1 SV=2,11.9,6,3,5,3,5,1,2,4,8,7,12,5,4,0.69,1.53E-01,5,6,4,5,3,4,5.72E+07,7.53E+07,4.40E+07,1.15E+08,9.25E+07,7.67E+07,,,
High,O70252,Heme oxygenase 2 OS=Mus musculus (Mouse) OX=10090 GN=Hmox2 PE=1 SV=1,35.7,11,5,11,3,7,,3,5,12,3,8,,3,-1.17,1.53E-01,5,5,5,5,2,4,1.32E+07,1.14E+07,3.14E+06,7.19E+06,4.44E+06,5.07E+06,,,
High,O08810,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus (Mouse) OX=10090 GN=Eftud2 PE=1 SV=1,109.3,26,18,24,7,18,1,7,21,26,7,24,2,7,-1.09,1.53E-01,18,17,13,18,6,16,5.77E+07,3.71E+07,1.25E+07,3.99E+07,7.82E+06,1.75E+07,,,
High,P28650,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus (Mouse) OX=10090 GN=Adss1 PE=1 SV=2,50.2,21,16,19,14,21,9,17,33,36,25,43,15,25,0.69,1.54E-01,16,20,19,20,14,19,2.12E+08,3.12E+08,2.01E+08,3.94E+08,3.19E+08,3.42E+08,,,
High,P50171,Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus (Mouse) OX=10090 GN=Hsd17b8 PE=1 SV=2,26.6,6,,4,1,5,1,,,4,1,5,1,,-1.58,1.54E-01,2,5,3,4,1,2,2.35E+06,2.05E+06,6.03E+05,2.37E+06,2.23E+05,6.89E+05,,,
High,Q06185,"ATP synthase subunit e, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Atp5me PE=1 SV=2",8.2,4,4,4,4,4,1,2,5,7,4,6,1,2,0.69,1.54E-01,3,4,3,4,2,3,1.39E+07,4.34E+07,1.57E+07,5.29E+07,2.49E+07,2.53E+07,,,
High,Q9QXK3,Coatomer subunit gamma-2 OS=Mus musculus (Mouse) OX=10090 GN=Copg2 PE=1 SV=1,97.6,9,3,8,1,7,,3,3,8,1,8,,3,1.05,1.55E-01,3,8,4,8,4,4,3.60E+06,4.24E+06,8.26E+05,7.45E+06,9.09E+06,1.85E+06,,,
High,Q99M71,Mammalian ependymin-related protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Epdr1 PE=1 SV=1,25.5,7,7,7,6,4,5,7,13,13,9,6,6,8,-1.08,1.55E-01,8,8,8,7,6,7,1.12E+08,3.86E+08,1.80E+08,6.42E+07,8.52E+07,2.19E+08,,,
High,Q8C196,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Cps1 PE=1 SV=2",164.5,29,29,,1,2,5,,42,,2,2,9,,0.95,1.56E-01,18,2,1,5,9,2,1.23E+08,5.43E+05,4.35E+06,2.40E+06,4.59E+07,8.42E+06,,,
High,Q9JLI6,Selenocysteine lyase OS=Mus musculus (Mouse) OX=10090 GN=Scly PE=1 SV=1,47.1,4,1,4,1,1,,1,1,4,1,1,,1,-1.39,1.57E-01,3,4,3,3,1,3,4.10E+06,5.16E+06,2.18E+06,1.57E+06,2.95E+06,1.47E+06,,,
High,Q9DCU2,Plasmolipin OS=Mus musculus (Mouse) OX=10090 GN=Pllp PE=1 SV=1,19.8,2,1,2,1,1,1,2,2,3,1,2,1,3,0.71,1.58E-01,1,3,2,3,2,2,2.02E+06,2.51E+07,1.09E+07,2.01E+07,1.52E+07,1.77E+07,,,
High,P62264,40S ribosomal protein S14 OS=Mus musculus (Mouse) OX=10090 GN=Rps14 PE=1 SV=3,16.3,6,6,5,3,5,4,4,11,6,4,8,4,7,0.68,1.58E-01,7,6,5,6,5,5,9.78E+07,3.45E+07,2.68E+07,5.53E+07,5.81E+07,3.42E+07,,,
High,Q64521,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Gpd2 PE=1 SV=2",80.9,31,9,15,4,26,9,14,10,17,4,35,9,14,0.68,1.58E-01,15,25,16,29,18,22,2.64E+07,3.58E+07,1.17E+07,9.16E+07,2.66E+07,4.24E+07,,,
High,Q3THE2,Myosin regulatory light chain 12B OS=Mus musculus (Mouse) OX=10090 GN=Myl12b PE=1 SV=2,19.8,3,7,5,2,7,5,2,9,7,2,10,6,3,0.99,1.59E-01,3,2,1,3,2,1,1.89E+07,3.33E+06,2.09E+06,8.91E+06,6.63E+06,3.06E+06,,,
High,P00920,Carbonic anhydrase 2 OS=Mus musculus (Mouse) OX=10090 GN=Ca2 PE=1 SV=4,29,12,9,10,9,11,8,8,35,27,16,19,12,17,-1.08,1.59E-01,11,13,12,13,10,12,1.10E+09,1.27E+09,1.03E+09,5.22E+08,3.14E+08,5.70E+08,,,
High,Q9Z1M8,Protein Red OS=Mus musculus (Mouse) OX=10090 GN=Ik PE=1 SV=2,65.6,8,2,4,,5,,,2,4,,6,,,-1.57,1.59E-01,5,5,2,6,1,3,4.39E+06,2.68E+06,6.13E+05,4.44E+06,7.53E+05,9.03E+05,,,
